1000000
sep
1, 0.054409
2, 0.028114
3, 0.024596
4, 0.035534
5, 0.048732
6, 0.026032
7, 0.049966
8, 0.032028
9, 0.033839
10, 0.040537
11, 0.033562
12, 0.044956
sep
1, 0.055207
2, 0.028300
3, 0.038755
4, 0.029819
5, 0.017752
6, 0.030902
7, 0.027736
8, 0.029632
9, 0.038114
10, 0.022436
11, 0.029150
12, 0.034382
sep
1, 0.054145
2, 0.027657
3, 0.043409
4, 0.031961
5, 0.029080
6, 0.025942
7, 0.028178
8, 0.036540
9, 0.032194
10, 0.036319
11, 0.042572
12, 0.032786
sep
1, 0.054401
2, 0.027405
3, 0.046284
4, 0.026779
5, 0.042535
6, 0.026490
7, 0.029909
8, 0.028339
9, 0.038191
10, 0.036191
11, 0.034586
12, 0.037841
sep
1, 0.054523
2, 0.027673
3, 0.046440
4, 0.043432
5, 0.029623
6, 0.029075
7, 0.040902
8, 0.036306
9, 0.023793
10, 0.040076
11, 0.035880
12, 0.034873
sep
1, 0.055015
2, 0.039771
3, 0.045086
4, 0.022785
5, 0.030567
6, 0.038465
7, 0.034679
8, 0.040642
9, 0.030147
10, 0.029235
11, 0.030407
12, 0.029875
sep
1, 0.054926
2, 0.044607
3, 0.045785
4, 0.040849
5, 0.032003
6, 0.030683
7, 0.037300
8, 0.031474
9, 0.029599
10, 0.026452
11, 0.035556
12, 0.033465
sep
1, 0.055049
2, 0.028837
3, 0.039558
4, 0.042325
5, 0.022163
6, 0.043642
7, 0.037113
8, 0.026349
9, 0.048098
10, 0.032981
11, 0.028545
12, 0.034541
sep
1, 0.054965
2, 0.028191
3, 0.032724
4, 0.042685
5, 0.033284
6, 0.055243
7, 0.031165
8, 0.021754
9, 0.034739
10, 0.034933
11, 0.036739
12, 0.041682
sep
1, 0.054686
2, 0.028050
3, 0.043016
4, 0.028339
5, 0.038044
6, 0.035941
7, 0.037678
8, 0.028450
9, 0.029745
10, 0.029775
11, 0.035684
12, 0.034911
sep
1, 0.055182
2, 0.044213
3, 0.033225
4, 0.022697
5, 0.029435
6, 0.035788
7, 0.028142
8, 0.020352
9, 0.030161
10, 0.023761
11, 0.026212
12, 0.040659
sep
1, 0.061190
2, 0.042256
3, 0.041329
4, 0.027970
5, 0.039450
6, 0.041272
7, 0.040363
8, 0.043686
9, 0.026285
10, 0.050696
11, 0.039963
12, 0.034373
sep
1, 0.055171
2, 0.027653
3, 0.034055
4, 0.037326
5, 0.018041
6, 0.030425
7, 0.048209
8, 0.037195
9, 0.033121
10, 0.027649
11, 0.032987
12, 0.037241
sep
1, 0.055035
2, 0.028078
3, 0.023538
4, 0.021006
5, 0.022125
6, 0.038411
7, 0.024813
8, 0.032293
9, 0.033520
10, 0.033633
11, 0.028985
12, 0.034811
sep
1, 0.054998
2, 0.045467
3, 0.037604
4, 0.033397
5, 0.033027
6, 0.029899
7, 0.031169
8, 0.020370
9, 0.016830
10, 0.025492
11, 0.027280
12, 0.044066
10000000
sep
1, 0.550343
2, 0.275344
3, 0.210955
4, 0.142597
5, 0.139929
6, 0.113340
7, 0.095335
8, 0.097654
9, 0.094252
10, 0.078540
11, 0.100403
12, 0.070513
sep
1, 0.548952
2, 0.289267
3, 0.202489
4, 0.156416
5, 0.140704
6, 0.118746
7, 0.115729
8, 0.083931
9, 0.077290
10, 0.086303
11, 0.095268
12, 0.070507
sep
1, 0.548988
2, 0.275191
3, 0.202366
4, 0.150820
5, 0.121357
6, 0.111469
7, 0.109212
8, 0.094954
9, 0.091820
10, 0.076765
11, 0.081562
12, 0.072396
sep
1, 0.549321
2, 0.275261
3, 0.201086
4, 0.166523
5, 0.130335
6, 0.113186
7, 0.092016
8, 0.090227
9, 0.081868
10, 0.084399
11, 0.073753
12, 0.074047
sep
1, 0.549016
2, 0.287486
3, 0.207805
4, 0.150458
5, 0.128264
6, 0.105254
7, 0.123092
8, 0.090578
9, 0.080544
10, 0.075408
11, 0.080258
12, 0.060046
sep
1, 0.548901
2, 0.275760
3, 0.214455
4, 0.151479
5, 0.139402
6, 0.112723
7, 0.106547
8, 0.094658
9, 0.078184
10, 0.081705
11, 0.089035
12, 0.078765
sep
1, 0.550419
2, 0.299027
3, 0.202449
4, 0.144930
5, 0.119336
6, 0.110814
7, 0.101989
8, 0.091167
9, 0.077199
10, 0.087292
11, 0.084061
12, 0.067958
sep
1, 0.549244
2, 0.275958
3, 0.206115
4, 0.144572
5, 0.119646
6, 0.127196
7, 0.095256
8, 0.092429
9, 0.082956
10, 0.074185
11, 0.081258
12, 0.077409
sep
1, 0.548970
2, 0.288918
3, 0.210567
4, 0.163547
5, 0.128441
6, 0.112119
7, 0.105392
8, 0.087897
9, 0.090698
10, 0.078747
11, 0.086387
12, 0.078841
sep
1, 0.549278
2, 0.306927
3, 0.209854
4, 0.165762
5, 0.132658
6, 0.121809
7, 0.111387
8, 0.096658
9, 0.086939
10, 0.087410
11, 0.069065
12, 0.075840
sep
1, 0.550971
2, 0.275586
3, 0.209681
4, 0.145851
5, 0.120742
6, 0.108903
7, 0.103439
8, 0.095093
9, 0.079703
10, 0.081596
11, 0.070423
12, 0.064970
sep
1, 0.551170
2, 0.274937
3, 0.207741
4, 0.158869
5, 0.126165
6, 0.110514
7, 0.100511
8, 0.087279
9, 0.094684
10, 0.082590
11, 0.076011
12, 0.075099
sep
1, 0.550071
2, 0.297270
3, 0.211563
4, 0.169468
5, 0.125571
