msg size, 		time [s],				time [ms],				time [us],				time [ns],				tp [mbit/s]
1,              0.000002,               0.002296,               2.296064,               2296.064049,            3.322814
2,              0.000002,               0.001712,               1.711529,               1711.528748,            8.915298
4,              0.000002,               0.001759,               1.758952,               1758.951694,            17.349867
8,              0.000002,               0.001928,               1.927726,               1927.725971,            31.661739
16,             0.000002,               0.001653,               1.653051,               1653.051004,            73.845460
32,             0.000002,               0.001639,               1.638597,               1638.596877,            148.993708
64,             0.000002,               0.002010,               2.010111,               2010.110766,            242.912609
128,            0.000002,               0.001706,               1.706099,               1706.099138,            572.394932
256,            0.000002,               0.002005,               2.005305,               2005.305141,            973.978952
512,            0.000002,               0.001874,               1.874203,               1874.202862,            2084.219419
1024,           0.000002,               0.002274,               2.274467,               2274.466679,            3434.871161
2048,           0.000002,               0.002383,               2.383199,               2383.198589,            6556.314724
4096,           0.000003,               0.003198,               3.197584,               3197.584301,            9773.002697
8192,           0.000004,               0.004360,               4.359772,               4359.772429,            14335.610636
16384,          0.000007,               0.007168,               7.167738,               7167.737931,            17439.253667
32768,          0.000012,               0.012395,               12.395065,              12395.065278,           20169.316934
65536,          0.000020,               0.019616,               19.615991,              19615.991041,           25489.408053
131072,         0.000040,               0.039848,               39.848024,              39848.024026,           25095.347246
262144,         0.000073,               0.072757,               72.756819,              72756.819427,           27488.832191
524288,         0.000134,               0.133916,               133.915888,             133915.888146,          29869.495363
1048576,        0.000257,               0.257434,               257.434435,             257434.435189,          31075.873723
2097152,        0.000507,               0.507065,               507.065384,             507065.383717,          31554.116123
4194304,        0.001038,               1.038163,               1038.163044,            1038163.043559,         30823.674758
8388608,        0.002574,               2.573756,               2573.756417,            2573756.417260,         24866.378019
16777216,       0.006633,               6.633133,               6633.133488,            6633133.487776,         19297.063784
33554432,       0.014675,               14.674754,              14674.754189,           14674754.189327,        17444.925939
67108864,       0.031760,               31.759762,              31759.762298,           31759762.298316,        16121.027456
134217728,      0.064115,               64.114598,              64114.597626,           64114597.626030,        15971.401801
268435456,      0.129196,               129.195567,             129195.567332,          129195567.332208,       15851.937046
