msg size, 		time [s],				time [ms],				time [us],				time [ns],				tp [mbit/s]
1,              0.980630,               980.629800,             980629.799692,          980629799.691960,               0.000008
2,              0.980631,               980.631172,             980631.172033,          980631172.033027,               0.000016
4,              0.980631,               980.630611,             980630.610613,          980630610.613152,               0.000031
8,              0.980609,               980.608827,             980608.826578,          980608826.577663,               0.000062
16,             0.980609,               980.609106,             980609.105704,          980609105.704352,               0.000124
32,             0.980609,               980.608925,             980608.925428,          980608925.428241,               0.000249
64,             0.980608,               980.608383,             980608.383063,          980608383.063227,               0.000498
128,            0.980608,               980.607760,             980607.760306,          980607760.306448,               0.000996
256,            0.980608,               980.607798,             980607.798304,          980607798.304409,               0.001992
512,            0.980608,               980.607689,             980607.688790,          980607688.790187,               0.003983
1024,           0.980612,               980.612464,             980612.463700,          980612463.699654,               0.007967
2048,           0.980629,               980.629477,             980629.477315,          980629477.314651,               0.015934
4096,           0.980631,               980.631016,             980631.016325,          980631016.325206,               0.031867
8192,           0.980644,               980.643758,             980643.757945,          980643757.944927,               0.063734
16384,          0.980652,               980.651582,             980651.582135,          980651582.134888,               0.127466
32768,          0.980671,               980.670616,             980670.616394,          980670616.393909,               0.254928
65536,          0.980714,               980.714359,             980714.358827,          980714358.827099,               0.509832
131072,         0.980862,               980.861681,             980861.680536,          980861680.535600,               1.019512
262144,         0.980993,               980.993162,             980993.161816,          980993161.816150,               2.038750
524288,         0.981272,               981.272022,             981272.022082,          981272022.081539,               4.076342
1048576,        0.981830,               981.829940,             981829.940425,          981829940.425232,               8.148051
2097152,        0.993177,               993.177222,             993177.221864,          993177221.864462,               16.109914
4194304,        0.985136,               985.136291,             985136.291282,          985136291.282251,               32.482815
8388608,        1.000582,               1000.581576,            1000581.575567,         1000581575.566903,              63.962801
16777216,       1.034323,               1034.322791,            1034322.791304,         1034322791.304439,              123.752470
33554432,       1.083907,               1083.906618,            1083906.618413,         1083906618.412584,              236.182708
67108864,       1.180788,               1180.787536,            1180787.535645,         1180787535.645068,              433.608913
134217728,      1.383847,               1383.847130,            1383847.130463,         1383847130.462527,              739.966126
268435456,      1.794526,               1794.525652,            1794525.652155,         1794525652.155280,              1141.248662
