                          length,                      num_threads,              desired bucket size,          final bucket size coeff,            total length schedule,           buckets count schedule,                allocation preset,                algorithm version,                      bucket type,                      time (mean),                       time (std)
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          3.37469,                         0.171385
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          4.25282,                         0.252551
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          13.0876,                         0.384366
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          8.64168,                         0.382828
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.99196,                         0.138697
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          12.7445,                         0.451999
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          8.38324,                         0.168567
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          4.02764,                        0.0814933
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          13.4168,                         0.440799
                          131072,                                4,                             8192,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          8.39892,                        0.0887089
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          3.83602,                        0.0522822
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          10.2431,                         0.524649
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          13.1512,                         0.458739
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          8.41692,                         0.152513
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.95935,                         0.217076
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,            fixed size (lockfree),                          10.0848,                         0.448758
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          13.2817,                         0.495418
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          8.38085,                         0.202088
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          3.92308,                        0.0754346
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,            fixed size (lockfree),                          10.0044,                         0.437516
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          13.4938,                         0.800485
                          131072,                                4,                             8192,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          8.42591,                         0.083127
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          4.47024,                         0.721888
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          17.5092,                         0.768273
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                           10.402,                         0.157212
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.94476,                         0.203119
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          17.9775,                         0.826639
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          10.3262,                         0.173821
                          131072,                                4,                           131072,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          3.84226,                         0.100765
